timestep,real_time,h,goal_error,dist,cost_history,conflict,t_mppi,t_cbf,t_robot,intervention_magnitude,q_0,q_1,q_2,q_3,q_4,q_5,q_6,u_mppi_0,u_mppi_1,u_mppi_2,u_mppi_3,u_mppi_4,u_mppi_5,u_mppi_6,u_safe_0,u_safe_1,u_safe_2,u_safe_3,u_safe_4,u_safe_5,u_safe_6
10,8.043451821999952,0.1986915812421175,0.11727420826279045,0.2486915812421175,0.0038195431308408606,1,1.1253131910002594,0.0015418959997077764,0.0006325990002551407,0.08778419081679259,0.3214626447193,-0.3937777437097792,0.16064138330348335,-1.9172742082627905,0.08009709147611978,1.5930294192307788,0.5575404915297576,0.3196146015675323,-0.3955284618990258,0.16008282863015755,-1.9180758036190948,0.07839419637248958,1.5931310705733006,0.5570551183060333,0.3621026202329518,-0.39047122071079715,0.18365015432347265,-1.8502104545437117,0.09751709013693831,1.6115456715275702,0.5601128460768341
11,9.065817055000025,0.21447018825600156,0.09365211167966936,0.26447018825600155,0.0035661595866275774,0,1.0165141140000742,0.0014904770000612189,0.0006536729997606017,0.007573971862767651,0.3378629426543353,-0.38814899097263694,0.17110722550052895,-1.8936521116796694,0.08700693667399813,1.5998144425174796,0.5581192349432138,0.34804186324088376,-0.36113592003165546,0.17498788230598558,-1.880000331768483,0.08519792730348286,1.5948854745936962,0.5383524672605848,0.35165376245813645,-0.3604992378747882,0.17704710852621658,-1.8741721261876405,0.08682977637183847,1.5966094335312087,0.5386180062120771
12,10.024040795000019,0.2156765935532743,0.08730378539954242,0.2656765935532743,0.0031546735996122732,0,0.9523872519998804,0.001460765000047104,0.0006646439996984554,6.508880383426628e-07,0.3438504426650331,-0.3770571266381793,0.17444096429463818,-1.8873037853995425,0.08687662293966583,1.5982757193673944,0.5503572519405678,0.36905141576666134,-0.33503816152266835,0.18724482191373412,-1.8504277125982644,0.09298037192071397,1.5965666930944669,0.5224711873111189,0.36905116227197254,-0.3350382036014461,0.18724469185248963,-1.8504282767172644,0.09298026942173754,1.5965665848513448,0.5224711713026646
13,10.855993441999999,0.21856779016761047,0.07487916421406471,0.26856779016761045,0.002772164380767146,0,0.826192649999939,0.0014960880002945487,0.0006602640000892279,1.7025143632297656e-12,0.3536767994748371,-0.35861745545610135,0.1795206621912135,-1.8748791642140648,0.08919601910902686,1.5971851863283117,0.5392190639425964,0.38471858134770726,-0.3167028104485798,0.1930587799731437,-1.8275791236390888,0.09622596155810281,1.599701692438961,0.5113885588505952,0.3847185813483908,-0.3167028104484484,0.1930587799734977,-1.8275791236376342,0.09622596155838703,1.5997016924392613,0.5113885588506387
14,11.588427883999884,0.22417713472711887,0.05850778862136541,0.27417713472711885,0.0025141145925215856,0,0.7266279790001136,0.0015113540002857917,0.0006327389996840793,5.66413932746559e-07,0.36593990890718736,-0.3403560485710702,0.18509864660588715,-1.8585077886213655,0.09183115688060826,1.5977732713532187,0.5281874452211788,0.39535455376306383,-0.30596292903779526,0.199260151203225,-1.8135560728323494,0.09903200561931777,1.598241936105892,0.5036046781064363,0.39535432824247907,-0.30596297882069134,0.19926003409494963,-1.8135565567824579,0.09903191119429032,1.598241833917791,0.5036046637424905
15,12.232429040999705,0.2304115616582913,0.04324594851868668,0.2804115616582913,0.002160538059377066,0,0.6388180039998588,0.0015300519999073003,0.000655431000268436,5.424391287279371e-07,0.3776169954847922,-0.3250150910443061,0.19099552370215314,-1.8432459485186867,0.09454956695639812,1.5974921188709126,0.5184234607217812,0.4009908081049408,-0.2984204758366769,0.2020157798952188,-1.8042061170158645,0.10114408428032952,1.5998639228091631,0.5007514501730809,0.4009905919517129,-0.298420529753284,0.20201566603266333,-1.8042065781691885,0.1011439922618854,1.5998638212044447,0.500751436280374
16,12.77694227999973,0.23586762381710713,0.03027725994281294,0.2858676238171071,0.001760851219777191,0,0.5391146799997841,0.0015177939999375667,0.000679607999700238,5.278995276474757e-07,0.3869796991085697,-0.3127923517673757,0.1957644000941379,-1.830277259942813,0.09704415628796793,1.597958607464621,0.5114212658396562,0.4048034576103759,-0.2950995655386212,0.20111304632851068,-1.7983706444645644,0.0999029833579738,1.5993937212313345,0.4972659833068678,0.4048032474537821,-0.2950996230789065,0.20111293391795917,-1.7983710913504638,0.09990289262478767,1.5993936190588123,0.4972659696555525
17,13.225463299999774,0.23989963404165154,0.0201280722964976,0.28989963404165153,0.0013839041224545108,0,0.44331208500034336,0.0015228580000439251,0.0006558519999089185,1.5044441206040437e-12,0.39415441469640694,-0.3040721555590942,0.19830513385949636,-1.8201280722964976,0.09807063201714336,1.5980610165537865,0.5058160762950282,0.4030275598714227,-0.29421733202674716,0.20443580264350178,-1.7969025533065655,0.09947851801317723,1.6010864107305738,0.49612880546692384,0.40302755987202893,-0.29421733202656764,0.20443580264383387,-1.796902553305306,0.09947851801344483,1.6010864107308802,0.49612880546696414
18,13.575373282999863,0.24270117740478858,0.013383708929511684,0.29270117740478857,0.0010540625044315262,0,0.34476430899985644,0.0014911829998709436,0.0006376119999913499,5.234944960858574e-07,0.3977460738100156,-0.29848155378265206,0.20107081358777534,-1.8133837089295117,0.0985110055189642,1.5987897137996485,0.5019760242775173,0.4035856768913419,-0.2966089909156872,0.20171270724503948,-1.795929351714352,0.10062528846880892,1.6007516167068834,0.4970860963249135,0.40358546992771394,-0.29660905386491354,0.20171259395071947,-1.795929793148263,0.10062519777410478,1.6007515111704798,0.4970860826509791
19,13.82413835899979,0.2444988210823964,0.008965609228105187,0.2944988210823964,0.0006995918360268975,0,0.24372231500001362,0.0014149779999570455,0.0006428990000131307,1.4916189328755053e-12,0.40013390426954515,-0.2960142311901786,0.20168495936388534,-1.8089656092281052,0.09922216233984779,1.5990941093419242,0.5000320477672722,0.4025527500805296,-0.2980105087200936,0.20100768702425187,-1.7983196750950325,0.09987214922654784,1.5995830449619555,0.4989620687742265,0.402552750081124,-0.29801050871990664,0.20100768702458185,-1.798319675093783,0.09987214922681151,1.5995830449622646,0.49896206877426635
