global_t,cycle,k,h0,goal_error,dist,cbf_active,intervention_magnitude,t_mppi_s,t_qp_s
52,1,22,0.24757366435817713,0.0012332310216427583,0.2975736643581771,False,5.282239899698128e-07,1.054079294204712,0.0015788078308105469
53,1,23,0.2480469008725431,0.001095511097335189,0.2980469008725431,False,5.257688882005368e-07,0.9322865009307861,0.0015048980712890625
54,1,24,0.24757241801888635,0.0018413225595666216,0.29757241801888634,False,5.293180062207669e-07,0.8159654140472412,0.0015006065368652344
55,1,25,0.24798353979733662,0.0008792018160547199,0.2979835397973366,False,5.231242014682069e-07,0.6960031986236572,0.0016264915466308594
56,1,26,0.2481227181298406,0.0006525577204834487,0.2981227181298406,False,1.546403199946232e-12,0.6170487403869629,0.0015549659729003906
57,1,27,0.24813007252310176,0.0010330391444473008,0.29813007252310175,False,5.251150001319323e-07,0.4785304069519043,0.0016641616821289062
58,1,28,0.24797851151291728,0.0008771523878376986,0.29797851151291727,False,1.5636593600093594e-12,0.3642897605895996,0.001237630844116211
59,1,29,0.24814282851353242,0.0013273729195124595,0.2981428285135324,False,5.295243142818679e-07,0.22786808013916016,0.001169443130493164
60,2,0,0.2481673182767405,0.000680769844675827,0.2981673182767405,False,5.248549071677528e-07,3.4655845165252686,0.0015265941619873047
61,2,1,0.2480312330739095,0.0005117131684631016,0.2980312330739095,False,1.540069169802495e-12,3.395087718963623,0.0015141963958740234
62,2,2,0.2477962597184306,0.0012182569671805865,0.2977962597184306,False,5.264595896348813e-07,3.2773077487945557,0.0016026496887207031
63,2,3,0.24750853534002576,0.0013667032962888515,0.29750853534002575,False,5.240177970763328e-07,3.159191131591797,0.0016131401062011719
64,2,4,0.247220096310652,0.001913011438004597,0.297220096310652,False,5.369638776917452e-07,3.0661237239837646,0.0014824867248535156
65,2,5,0.24705414739880172,0.002100518364609283,0.2970541473988017,False,5.262710154004095e-07,2.975728988647461,0.0015599727630615234
